RefDes     X          Y          Rot.       Exact     (FREE)    Side
C319       4626.0026  4225.0002  000        EXACT     (FREE)    L8_BOTTOM_SIDE                
C328       3260.0026  2850.0002  090        EXACT     (FREE)    L1_TOP_SIDE                   
C373       3425.0026  2739.0002  180        EXACT     (FREE)    L8_BOTTOM_SIDE                
C379       4135.0000  4275.0000  090        EXACT     (FREE)    L8_BOTTOM_SIDE                
C385       2670.0000  4385.0000  000        EXACT     (FREE)    L1_TOP_SIDE                   
C386       6150.0026  2975.0009  180        EXACT     (FREE)    L1_TOP_SIDE                   
C388       2398.0026  2295.0002  090        EXACT     (FREE)    L8_BOTTOM_SIDE                
C389       3825.0026  4335.0002  090        EXACT     (FREE)    L1_TOP_SIDE                   
C390       3780.0026  3625.0002  180        EXACT     (FREE)    L8_BOTTOM_SIDE                
C398       1469.4900  1319.0100  270        EXACT     (FREE)    L8_BOTTOM_SIDE                
C401       1502.0026  690.0002   090        EXACT     (FREE)    L8_BOTTOM_SIDE                
C402       1549.2026  819.0002   000        EXACT     (FREE)    L8_BOTTOM_SIDE                
C403       2611.0026  567.0002   000        EXACT     (FREE)    L8_BOTTOM_SIDE                
C404       1335.0026  488.0009   090        EXACT     (FREE)    L8_BOTTOM_SIDE                
C405       1268.0026  1099.0009  090        EXACT     (FREE)    L8_BOTTOM_SIDE                
C406       1457.7026  915.3002   090        EXACT     (FREE)    L8_BOTTOM_SIDE                
C407       1463.0026  812.0002   090        EXACT     (FREE)    L8_BOTTOM_SIDE                
C408       1888.0026  1164.0009  180        EXACT     (FREE)    L8_BOTTOM_SIDE                
C409       1866.6026  463.1002   180        EXACT     (FREE)    L8_BOTTOM_SIDE                
C410       3265.0026  1984.0002  090        EXACT     (FREE)    L8_BOTTOM_SIDE                
C411       3425.0026  2094.0002  000        EXACT     (FREE)    L1_TOP_SIDE                   
C412       3341.0026  2345.0002  000        EXACT     (FREE)    L8_BOTTOM_SIDE                
C413       3409.0026  1883.0002  180        EXACT     (FREE)    L8_BOTTOM_SIDE                
C414       3253.0026  1863.0002  090        EXACT     (FREE)    L8_BOTTOM_SIDE                
C415       1628.6026  816.7002   180        EXACT     (FREE)    L8_BOTTOM_SIDE                
C416       1703.0026  819.0009   000        EXACT     (FREE)    L8_BOTTOM_SIDE                
C417       1338.0026  1164.0009  000        EXACT     (FREE)    L8_BOTTOM_SIDE                
C418       3409.0026  1883.0002  000        EXACT     (FREE)    L1_TOP_SIDE                   
C419       1612.2026  750.9002   270        EXACT     (FREE)    L8_BOTTOM_SIDE                
