*PADS-ECO-V9.0.1-MILS*
*REMARK*  old file: D:\Vijay\SVN\NGP_ODC\PDLC\Prodigy HW files\IES\Rev3\Schematics\18-IES-NGP_rev3-156406.asc
*REMARK*  new file: D:\Vijay\SVN\NGP_ODC\PDLC\Prodigy HW files\IES\Rev3\Schematics\18-IES-NGP_rev3.asc
*REMARK*  created by ECOGEN (Version 6.4v) on 7/25/2012 3:27:57 PM

PART DIFFERENCES
----------------
OLD DESIGN                                        NEW DESIGN
Ref-des	Part-type:Decal                           Ref-des	Part-type:Decal
C67   CAP_100NF_50V_0603:0603                     C67   CAP-0.1UF-50V-0603-10%-06035C104KAT2A:C0603
C68   CAP_100NF_50V_0603:0603                     C68   CAP-0.1UF-50V-0603-10%-06035C104KAT2A:C0603
C69   CAP_100NF_50V_0603:0603                     C69   CAP-0.1UF-50V-0603-10%-06035C104KAT2A:C0603
C7   CAP_100NF_50V_0603:0603                      C7   CAP-0.1UF-50V-0603-10%-06035C104KAT2A:C0603
C70   CAP_100NF_50V_0603:0603                     C70   CAP-0.1UF-50V-0603-10%-06035C104KAT2A:C0603
C71   CAP_100NF_50V_0603:0603                     C71   CAP-0.1UF-50V-0603-10%-06035C104KAT2A:C0603
C72   CAP_100NF_50V_0603:0603                     C72   CAP-0.1UF-50V-0603-10%-06035C104KAT2A:C0603
C73   CAP_100NF_50V_0603:0603                     C73   CAP-0.1UF-50V-0603-10%-06035C104KAT2A:C0603
C74   CAP_100NF_50V_0603:0603                     C74   CAP-0.1UF-50V-0603-10%-06035C104KAT2A:C0603
C75   CAP_100NF_50V_0603:0603                     C75   CAP-0.1UF-50V-0603-10%-06035C104KAT2A:C0603
C89   CAP_100NF_50V_0603:0603                     C89   CAP-0.1UF-50V-0603-10%-06035C104KAT2A:C0603
C91   CAP_100NF_50V_0603:0603                     C91   CAP-0.1UF-50V-0603-10%-06035C104KAT2A:C0603
C92   CAP_100NF_50V_0603:0603                     C92   CAP-0.1UF-50V-0603-10%-06035C104KAT2A:C0603
C93   CAP_100NF_50V_0603:0603                     C93   CAP-0.1UF-50V-0603-10%-06035C104KAT2A:C0603
C94   CAP_100NF_50V_0603:0603                     C94   CAP-0.1UF-50V-0603-10%-06035C104KAT2A:C0603
C99   CAP_100NF_50V_0603:0603                     C99   CAP-0.1UF-50V-0603-10%-06035C104KAT2A:C0603
C254   CAP_100UF_10V_2917:2917                    C254   CAP-100UF-20V-2917-10%-TPSE107K020R0150:C2917
C244   CAP_10N_1206:1206                          C244   CAP-0.01UF-50V-0805-10%-08055C103KAT2A:C0805
C258   CAP_10N_1206:1206                          C258   CAP-0.01UF-50V-0805-10%-08055C103KAT2A:C0805
C259   CAP_10N_1206:1206                          C259   CAP-0.01UF-50V-0805-10%-08055C103KAT2A:C0805
C120   CAP_10UF_6.3V_0805                         C120   CAP-10UF-25V-0805-10%-GRM21BR61E106KA73L
