Item	Qty	Reference	 Part  Name 	Manufacturer	Description	 MFG  P/N 	 CCC  P/N 	VALUE
67	1	C204	CAP-0.01UF-50V-0603-10%-06035C103KAT2A	AVX	CAP,CER,10000PF,50V,10%,X7R,0603	06035C103KAT2A		0.01UF
68	1	C205	CAP-0.01UF-50V-0603-10%-06035C103KAT2A	AVX	CAP,CER,10000PF,50V,10%,X7R,0603	06035C103KAT2A		0.01UF
69	1	C206	CAP-0.01UF-50V-0603-10%-06035C103KAT2A	AVX	CAP,CER,10000PF,50V,10%,X7R,0603	06035C103KAT2A		0.01UF
70	1	C207	CAP-0.01UF-50V-0603-10%-06035C103KAT2A	AVX	CAP,CER,10000PF,50V,10%,X7R,0603	06035C103KAT2A		0.01UF
71	1	C208	CAP-0.01UF-50V-0603-10%-06035C103KAT2A	AVX	CAP,CER,10000PF,50V,10%,X7R,0603	06035C103KAT2A		0.01UF
72	1	C209	CAP-0.01UF-50V-0603-10%-06035C103KAT2A	AVX	CAP,CER,10000PF,50V,10%,X7R,0603	06035C103KAT2A		0.01UF
73	1	C211	CAP-0.01UF-50V-0603-10%-06035C103KAT2A	AVX	CAP,CER,10000PF,50V,10%,X7R,0603	06035C103KAT2A		0.01UF
74	1	C212	CAP-0.01UF-50V-0603-10%-06035C103KAT2A	AVX	CAP,CER,10000PF,50V,10%,X7R,0603	06035C103KAT2A		0.01UF
75	1	C213	CAP-0.01UF-50V-0603-10%-06035C103KAT2A	AVX	CAP,CER,10000PF,50V,10%,X7R,0603	06035C103KAT2A		0.01UF
76	1	C214	CAP-0.01UF-50V-0603-10%-06035C103KAT2A	AVX	CAP,CER,10000PF,50V,10%,X7R,0603	06035C103KAT2A		0.01UF
77	1	C215	CAP-0.01UF-50V-0603-10%-06035C103KAT2A	AVX	CAP,CER,10000PF,50V,10%,X7R,0603	06035C103KAT2A		0.01UF
78	1	C217	CAP-0.01UF-50V-0603-10%-06035C103KAT2A	AVX	CAP,CER,10000PF,50V,10%,X7R,0603	06035C103KAT2A		0.01UF
79	1	C218	CAP-0.01UF-50V-0603-10%-06035C103KAT2A	AVX	CAP,CER,10000PF,50V,10%,X7R,0603	06035C103KAT2A		0.01UF
80	1	C51	CAP-0.1UF-10V-0402-10%-0402ZD104KAT2A	AVX	CAP,CER,0.1UF,10V,10%,X5R,0402	0402ZD104KAT2A		0.1UF
81	1	C53	CAP-0.1UF-10V-0402-10%-0402ZD104KAT2A	AVX	CAP,CER,0.1UF,10V,10%,X5R,0402	0402ZD104KAT2A		0.1UF
82	1	C54	CAP-0.1UF-10V-0402-10%-0402ZD104KAT2A	AVX	CAP,CER,0.1UF,10V,10%,X5R,0402	0402ZD104KAT2A		0.1UF
83	1	C55	CAP-0.1UF-10V-0402-10%-0402ZD104KAT2A	AVX	CAP,CER,0.1UF,10V,10%,X5R,0402	0402ZD104KAT2A		0.1UF
84	1	C56	CAP-0.1UF-10V-0402-10%-0402ZD104KAT2A	AVX	CAP,CER,0.1UF,10V,10%,X5R,0402	0402ZD104KAT2A		0.1UF
